ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
22,LOUISIANA,LA,St. Tammany,22103,"St. Tammany Parish, Louisiana",846.2272075,252093,0,101887,185,91975,964,27338,2029,7294,669,34201,759,16752,1192,40019,83,61259,0,34586,1213,8204,663,53254,182,3968,654,6442,640,8007,641,1516,333,3334,408,2364,280,11.0,0.8,5.8,0.5,34201.0,759.0,9.8,0.7,15.9,0.1,24.3,0.0,13.9,0.5,8.9,0.7,21.1,0.1,1.7,0.3,6.3,0.6,7.9,0.6,1.6,0.4,3.6,0.4,0.9,0.1,0.0159,0.254,0.0,0.0159,0.2858,0.0159,0.5714,0.6032,0.2222,0.1587,1.5555,0.2222,0.0952,0.7778,0.873,0.3492,0.9048,0.0635,0.0952,0.0159,0.127,1.2064,0.0159,3.9207,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,21624,1612,8.7,0.6,222201
22,LOUISIANA,LA,St. Charles,22089,"St. Charles Parish, Louisiana",277.7440351,52724,0,20578,64,18762,328,6015,735,1475,270,31567,1247,3663,354,6591,130,13123,52,6132,557,2327,394,18291,38,390,179,412,156,2146,345,474,185,826,191,592,160,11.6,1.4,5.7,1.0,31567.0,1247.0,10.5,1.0,12.5,0.2,24.9,0.1,11.8,1.1,12.4,2.1,34.7,0.1,0.8,0.4,2.0,0.8,10.4,1.7,2.5,1.0,4.4,1.0,1.1,0.3,0.0317,0.1905,0.0317,0.0317,0.2856,0.0,0.0794,0.7143,0.0159,0.7143,1.5239,0.1905,0.4127,0.5238,0.9365,0.4603,0.5873,0.0952,0.5079,0.0952,0.2063,1.4919,0.0476,4.2379,0.0159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201,565,8.1,1.1,50096
22,LOUISIANA,LA,Ascension,22005,"Ascension Parish, Louisiana",290.0536827,121176,0,46536,89,42649,616,13969,1464,3760,524,32961,989,9106,993,13440,133,32942,0,15123,1068,4783,547,37788,240,1235,399,993,275,9111,719,933,256,1690,388,865,202,11.6,1.2,6.0,0.8,32961.0,989.0,11.6,1.3,11.1,0.1,27.2,0.0,12.6,0.9,11.2,1.3,31.2,0.2,1.1,0.4,2.1,0.6,19.6,1.6,2.2,0.6,4.0,0.9,0.7,0.2,0.0317,0.3016,0.0159,0.0635,0.4127,0.0317,0.0159,0.9841,0.0952,0.5238,1.619,0.3016,0.2222,0.6825,0.9047,0.3968,0.619,0.4286,0.3016,0.0476,0.0635,1.4603,0.0317,4.3967,0.0317,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9005,1128,7.5,0.9,101557
22,LOUISIANA,LA,Cameron,22023,"Cameron Parish, Louisiana",1284.8687325,6868,0,3997,143,2718,165,703,278,143,105,29000,3208,869,267,1079,128,1502,132,998,186,178,95,774,205,178,118,5,18,1523,286,105,68,26,19,22,17,10.3,4.1,4.2,3.1,29000.0,3208.0,18.1,5.5,15.7,1.9,21.9,1.9,14.6,2.7,6.5,3.5,11.3,3.0,2.7,1.8,0.1,0.5,38.1,6.6,3.9,2.5,1.0,0.7,0.3,0.2,0.0,0.0317,0.1111,0.4603,0.6031,0.0794,0.5079,0.1587,0.3651,0.0159,1.0476,0.0635,0.0,0.9841,0.9841,0.5397,0.0159,0.9841,0.9048,0.0,0.0,1.9048,0.1587,4.5396,0.0476,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,3,715,194,10.5,2.8,16602
22,LOUISIANA,LA,Livingston,22063,"Livingston Parish, Louisiana",648.1691642,138111,0,56221,101,48859,882,16350,2189,3111,547,28995,848,13107,1287,17307,189,36076,121,17607,1232,5147,740,16417,61,943,329,1866,382,13948,919,1299,352,2387,490,1012,252,11.9,1.6,4.7,0.8,28995.0,848.0,14.4,1.4,12.5,0.1,26.1,0.1,12.8,0.9,10.5,1.5,11.9,0.0,0.7,0.3,3.3,0.7,24.8,1.6,2.7,0.7,4.9,1.0,0.7,0.2,0.0635,0.0635,0.127,0.2222,0.4762,0.0635,0.0794,0.9048,0.127,0.4286,1.5398,0.2063,0.0159,0.4603,0.4762,0.0635,0.7302,0.6667,0.619,0.1429,0.0635,2.2223,0.3651,4.7145,0.0635,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,13941,1496,10.2,1.1,94629
22,LOUISIANA,LA,Lafayette,22055,"Lafayette Parish, Louisiana",268.7425751,240091,0,101144,237,90606,889,38811,2533,6082,618,30988,875,19959,1277,29415,217,57076,0,28404,1403,9444,776,81897,158,4003,699,10760,739,10700,821,2127,345,6291,574,4951,559,16.5,1.1,4.8,0.5,30988.0,875.0,12.5,0.8,12.3,0.1,23.8,0.0,11.9,0.6,10.4,0.9,34.1,0.1,1.8,0.3,10.6,0.7,10.6,0.8,2.3,0.4,6.9,0.6,2.1,0.2,0.1587,0.1111,0.0635,0.0952,0.4285,0.0476,0.0476,0.4286,0.0317,0.381,0.8889,0.0159,0.3492,0.8254,1.1746,0.746,0.9524,0.1111,0.3492,0.3492,0.4762,2.2381,0.381,4.7301,0.0794,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,25752,1978,10.8,0.8,268397
22,LOUISIANA,LA,Bossier,22015,"Bossier Parish, Louisiana",840.3045866,126131,0,56266,441,48947,1003,20123,2026,3329,467,27924,768,8850,762,16866,180,31649,26,14697,843,5177,549,41440,190,899,342,3406,409,7653,569,1006,243,2193,347,3233,1092,16.4,1.6,5.8,0.8,27924.0,768.0,10.7,0.9,13.4,0.1,25.1,0.0,12.2,0.7,10.6,1.1,32.9,0.2,0.8,0.3,6.1,0.7,13.6,1.0,2.1,0.5,4.5,0.7,2.6,0.9,0.1429,0.254,0.1587,0.0476,0.6032,0.0952,0.1905,0.7778,0.0635,0.4444,1.4762,0.1746,0.3016,0.5238,0.8254,0.254,0.873,0.1905,0.254,0.1111,0.5397,1.9683,0.2063,4.8731,0.0952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10398,946,8.6,0.8,106756
22,LOUISIANA,LA,Beauregard,22011,"Beauregard Parish, Louisiana",1157.3620679,36769,0,15560,50,13219,331,6244,692,1227,237,26075,1465,3741,386,5582,47,9096,28,7292,583,1235,262,7334,21,89,89,62,33,4924,388,252,111,863,162,409,109,17.2,1.9,7.9,1.5,26075.0,1465.0,15.3,1.6,15.2,0.1,24.7,0.1,20.2,1.6,9.3,2.0,19.9,0.1,0.3,0.3,0.4,0.2,31.6,2.5,1.9,0.8,6.5,1.2,1.1,0.3,0.2063,0.6349,0.254,0.3333,1.4285,0.2222,0.4603,0.6825,0.8571,0.1905,2.1904,0.6508,0.0476,0.2222,0.2698,0.0317,0.127,0.873,0.1746,0.254,0.2063,1.6349,0.0952,5.5236,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4351,441,12.1,1.2,29798
22,LOUISIANA,LA,Jefferson,22051,"Jefferson Parish, Louisiana",295.6583413,435300,0,188539,241,168895,1101,66696,2791,12731,1038,29776,473,44549,1824,70261,34,95809,39,60002,1584,17473,997,204216,401,19343,1381,27074,997,2887,326,4017,402,12302,813,3568,411,15.5,0.6,5.7,0.5,29776.0,473.0,14.6,0.6,16.1,0.1,22.0,0.0,13.9,0.4,10.3,0.6,46.9,0.1,4.7,0.3,14.4,0.5,1.5,0.2,2.4,0.2,7.3,0.5,0.8,0.1,0.0952,0.1905,0.0952,0.254,0.6349,0.1111,0.619,0.1746,0.2222,0.3333,1.3491,0.1111,0.7619,1.0,1.7619,1.0,0.9683,0.0159,0.381,0.4762,0.1111,1.9525,0.1905,5.6984,0.127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,52472,2135,12.1,0.5,381600
22,LOUISIANA,LA,Calcasieu,22019,"Calcasieu Parish, Louisiana",1064.2941252,200182,0,88830,165,77295,919,33195,2231,5441,615,27368,594,17857,1248,28553,178,49916,0,30998,1338,8725,697,64340,150,1312,289,4634,487,14242,861,1835,342,4763,466,3568,416,16.9,1.1,5.7,0.6,27368.0,594.0,13.5,0.9,14.3,0.1,24.9,0.0,15.7,0.7,11.3,0.9,32.1,0.1,0.7,0.2,5.2,0.5,16.0,1.0,2.4,0.4,6.2,0.6,1.8,0.2,0.1905,0.1905,0.1905,0.1429,0.7144,0.127,0.3492,0.7143,0.5238,0.5556,2.1429,0.6349,0.254,0.4603,0.7143,0.1746,0.8571,0.2698,0.381,0.2063,0.4127,2.1269,0.2698,5.6985,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21528,1373,10.9,0.7,192114
