OBJECTID,Parish,Parish FIPS,LDH Region,Deaths - Black,Deaths - White,Deaths - Other,Deaths - Unknown,Cases - Black,Cases - White,Cases - Other,Cases - Unknown,2018 Population - Black,2018 Population - White,2018 Population - Other,x,y
1,Acadia,22001,4,22,76,1,0,767,1062,729,396,11281,49485,1424,-10287256.783187998,3540971.6150076506
2,Allen,22003,5,11,35,4,0,350,592,370,273,5794,18555,1256,-10333543.42745984,3587779.050112858
3,Ascension,22005,2,47,50,1,0,1206,1826,429,290,29396,91156,4120,-10120199.62335453,3529747.6633259524
4,Assumption,22007,3,,,,,396,287,37,45,6610,15164,526,-10137042.262311555,3490817.8121996815
5,Avoyelles,22009,6,22,34,1,0,507,650,217,152,12093,26850,1519,-10241549.000268279,3642688.1148997643
6,Beauregard,22011,5,5,32,1,0,139,519,144,210,4590,30962,1701,-10390928.624963773,3587222.6396540436
7,Bienville,22013,7,16,16,0,0,194,110,144,27,5574,7435,299,-10358946.535258865,3808999.161814693
8,Bossier,22015,7,35,71,1,0,1128,1597,368,233,29098,91522,6565,-10420083.199602531,3852853.035081328
9,Caddo,22017,7,227,130,1,0,4808,2420,703,588,120873,113621,8428,-10450952.094399506,3839833.0832671374
10,Calcasieu,22019,5,69,140,2,0,2407,3725,885,823,52161,142747,8204,-10392565.021478435,3533071.287332809
11,Caldwell,22021,8,,,,,52,129,62,59,1598,8157,205,-10254373.005607665,3775445.6836266117
12,Cameron,22023,5,,,,,22,151,33,25,288,6497,183,-10370134.14408359,3493116.6049120976
13,Catahoula,22025,6,,,,,77,158,78,126,2950,6496,162,-10230428.183138032,3715323.5211131833
14,Claiborne,22027,7,,,,,284,140,77,17,8272,7308,364,-10352233.969964031,3871820.424518093
15,Concordia,22029,6,,,,,198,173,68,73,7785,11417,370,-10201318.13629559,3690859.394422525
16,De Soto,22031,7,22,13,0,0,509,252,106,45,9906,16700,830,-10434576.997303816,3770821.3601814234
17,East Baton Rouge,22033,2,248,185,9,0,6737,4886,1737,1735,207090,210956,22910,-10140715.805507733,3572958.507059765
18,East Carroll,22035,8,,,,,292,88,88,81,4832,2056,149,-10156233.742524315,3859891.1015005354
19,East Feliciana,22037,2,25,46,1,0,967,533,195,51,8286,10593,426,-10135138.699018989,3612661.692671809
20,Evangeline,22039,4,10,21,1,0,432,384,334,184,9414,23266,763,-10286577.734294157,3597630.3208803833
