Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A19001_001,SE_A19001_002,SE_A19001_003
"22001960100","14000US22001960100","Census Tract 9601","Census Tract 9601, Acadia Parish, Louisiana","la","140","00","ACSSF","0002128",,,,,"22","001",,,,"960100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5935,106,5829
"22001960200","14000US22001960200","Census Tract 9602","Census Tract 9602, Acadia Parish, Louisiana","la","140","00","ACSSF","0002129",,,,,"22","001",,,,"960200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5531,0,5531
"22001960300","14000US22001960300","Census Tract 9603","Census Tract 9603, Acadia Parish, Louisiana","la","140","00","ACSSF","0002130",,,,,"22","001",,,,"960300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3652,64,3588
"22001960400","14000US22001960400","Census Tract 9604","Census Tract 9604, Acadia Parish, Louisiana","la","140","00","ACSSF","0002131",,,,,"22","001",,,,"960400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7188,169,7019
"22001960500","14000US22001960500","Census Tract 9605","Census Tract 9605, Acadia Parish, Louisiana","la","140","00","ACSSF","0002132",,,,,"22","001",,,,"960500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7285,36,7249
"22001960600","14000US22001960600","Census Tract 9606","Census Tract 9606, Acadia Parish, Louisiana","la","140","00","ACSSF","0002133",,,,,"22","001",,,,"960600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6141,105,6036
"22001960700","14000US22001960700","Census Tract 9607","Census Tract 9607, Acadia Parish, Louisiana","la","140","00","ACSSF","0002134",,,,,"22","001",,,,"960700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4497,35,4462
"22001960800","14000US22001960800","Census Tract 9608","Census Tract 9608, Acadia Parish, Louisiana","la","140","00","ACSSF","0002135",,,,,"22","001",,,,"960800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5023,422,4601
"22001960900","14000US22001960900","Census Tract 9609","Census Tract 9609, Acadia Parish, Louisiana","la","140","00","ACSSF","0002136",,,,,"22","001",,,,"960900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5102,123,4979
"22001961000","14000US22001961000","Census Tract 9610","Census Tract 9610, Acadia Parish, Louisiana","la","140","00","ACSSF","0002137",,,,,"22","001",,,,"961000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5083,0,5083
"22001961100","14000US22001961100","Census Tract 9611","Census Tract 9611, Acadia Parish, Louisiana","la","140","00","ACSSF","0002138",,,,,"22","001",,,,"961100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3778,10,3768
"22001961200","14000US22001961200","Census Tract 9612","Census Tract 9612, Acadia Parish, Louisiana","la","140","00","ACSSF","0002139",,,,,"22","001",,,,"961200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3353,0,3353
"22003950100","14000US22003950100","Census Tract 9501","Census Tract 9501, Allen Parish, Louisiana","la","140","00","ACSSF","0002140",,,,,"22","003",,,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5002,5,4997
"22003950200","14000US22003950200","Census Tract 9502","Census Tract 9502, Allen Parish, Louisiana","la","140","00","ACSSF","0002141",,,,,"22","003",,,,"950200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5184,2448,2736
"22003950300","14000US22003950300","Census Tract 9503","Census Tract 9503, Allen Parish, Louisiana","la","140","00","ACSSF","0002142",,,,,"22","003",,,,"950300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2942,74,2868
"22003950400","14000US22003950400","Census Tract 9504","Census Tract 9504, Allen Parish, Louisiana","la","140","00","ACSSF","0002143",,,,,"22","003",,,,"950400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209,117,4092
"22003950500","14000US22003950500","Census Tract 9505","Census Tract 9505, Allen Parish, Louisiana","la","140","00","ACSSF","0002144",,,,,"22","003",,,,"950500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8324,1730,6594
"22005030101","14000US22005030101","Census Tract 301.01","Census Tract 301.01, Ascension Parish, Louisiana","la","140","00","ACSSF","0002145",,,,,"22","005",,,,"030101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8621,0,8621
"22005030102","14000US22005030102","Census Tract 301.02","Census Tract 301.02, Ascension Parish, Louisiana","la","140","00","ACSSF","0002146",,,,,"22","005",,,,"030102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5209,0,5209
"22005030103","14000US22005030103","Census Tract 301.03","Census Tract 301.03, Ascension Parish, Louisiana","la","140","00","ACSSF","0002147",,,,,"22","005",,,,"030103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6398,0,6398
"22005030203","14000US22005030203","Census Tract 302.03","Census Tract 302.03, Ascension Parish, Louisiana","la","140","00","ACSSF","0002148",,,,,"22","005",,,,"030203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11781,0,11781
"22005030204","14000US22005030204","Census Tract 302.04","Census Tract 302.04, Ascension Parish, Louisiana","la","140","00","ACSSF","0002149",,,,,"22","005",,,,"030204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12573,0,12573
"22005030205","14000US22005030205","Census Tract 302.05","Census Tract 302.05, Ascension Parish, Louisiana","la","140","00","ACSSF","0002150",,,,,"22","005",,,,"030205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10708,0,10708
"22005030206","14000US22005030206","Census Tract 302.06","Census Tract 302.06, Ascension Parish, Louisiana","la","140","00","ACSSF","0002151",,,,,"22","005",,,,"030206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11292,0,11292
