Parish,Tract,Week (Thur-Wed),Date for start of week,Date for end of week,Weekly Test Count,Weekly Negative Test Count,Weekly Positive Test Count,Weekly Case Count
Acadia,22001960100,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960100,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960100,3,3/12/20,3/18/20,5,5,0,0
Acadia,22001960100,4,3/19/20,3/25/20,7,7,0,0
Acadia,22001960100,5,3/26/20,4/1/20,24,24,0,0
Acadia,22001960100,6,4/2/20,4/8/20,28,27,1,1
Acadia,22001960100,7,4/9/20,4/15/20,22,15,7,1
Acadia,22001960100,8,4/16/20,4/22/20,30,29,1,1
Acadia,22001960100,9,4/23/20,4/29/20,39,36,3,2
Acadia,22001960100,10,4/30/20,5/6/20,35,28,7,5
Acadia,22001960100,11,5/7/20,5/13/20,49,47,2,1
Acadia,22001960100,12,5/14/20,5/20/20,43,36,7,4
Acadia,22001960100,13,5/21/20,5/27/20,58,50,8,4
Acadia,22001960100,14,5/28/20,6/3/20,108,93,15,14
Acadia,22001960100,15,6/4/20,6/10/20,97,84,13,6
Acadia,22001960100,16,6/11/20,6/17/20,368,339,29,16
Acadia,22001960100,17,6/18/20,6/24/20,388,343,45,28
Acadia,22001960100,18,6/25/20,7/1/20,291,239,51,39
Acadia,22001960100,19,7/2/20,7/8/20,279,215,64,47
Acadia,22001960100,20,7/9/20,7/15/20,287,216,71,44
Acadia,22001960100,21,7/16/20,7/22/20,220,176,44,26
Acadia,22001960100,22,7/23/20,7/29/20,171,137,34,22
Acadia,22001960100,23,7/30/20,8/5/20,153,135,15,11
Acadia,22001960100,24,8/6/20,8/12/20,146,134,12,9
Acadia,22001960100,25,8/13/20,8/19/20,116,111,5,5
Acadia,22001960100,26,8/20/20,8/26/20,110,105,5,2
Acadia,22001960100,27,8/27/20,9/2/20,112,109,3,2
Acadia,22001960100,28,9/3/20,9/9/20,133,130,3,2
Acadia,22001960100,29,9/10/20,9/16/20,98,95,3,1
Acadia,22001960100,30,9/17/20,9/23/20,108,106,2,2
Acadia,22001960100,31,9/24/20,9/30/20,96,94,2,2
Acadia,22001960200,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960200,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960200,3,3/12/20,3/18/20,8,8,0,0
Acadia,22001960200,4,3/19/20,3/25/20,22,18,4,1
Acadia,22001960200,5,3/26/20,4/1/20,17,12,5,1
Acadia,22001960200,6,4/2/20,4/8/20,21,14,7,3
Acadia,22001960200,7,4/9/20,4/15/20,17,17,0,0
Acadia,22001960200,8,4/16/20,4/22/20,23,22,1,1
Acadia,22001960200,9,4/23/20,4/29/20,11,9,2,1
Acadia,22001960200,10,4/30/20,5/6/20,30,27,3,0
Acadia,22001960200,11,5/7/20,5/13/20,34,31,3,0
Acadia,22001960200,12,5/14/20,5/20/20,38,36,2,0
Acadia,22001960200,13,5/21/20,5/27/20,40,36,4,3
Acadia,22001960200,14,5/28/20,6/3/20,102,93,9,7
Acadia,22001960200,15,6/4/20,6/10/20,85,77,8,2
Acadia,22001960200,16,6/11/20,6/17/20,107,96,11,9
Acadia,22001960200,17,6/18/20,6/24/20,215,182,33,26
Acadia,22001960200,18,6/25/20,7/1/20,152,121,31,27
Acadia,22001960200,19,7/2/20,7/8/20,177,141,36,25
Acadia,22001960200,20,7/9/20,7/15/20,169,125,43,26
Acadia,22001960200,21,7/16/20,7/22/20,127,97,29,21
Acadia,22001960200,22,7/23/20,7/29/20,110,96,14,11
Acadia,22001960200,23,7/30/20,8/5/20,96,84,11,8
Acadia,22001960200,24,8/6/20,8/12/20,83,75,8,5
Acadia,22001960200,25,8/13/20,8/19/20,83,79,4,4
Acadia,22001960200,26,8/20/20,8/26/20,59,57,2,2
Acadia,22001960200,27,8/27/20,9/2/20,49,47,2,2
Acadia,22001960200,28,9/3/20,9/9/20,63,57,6,5
